"Table 1. Real Gross Domestic Product, by County, 2018–2021",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2012) dollars,,,,Rank in state,Percent change,,,Rank in state
Upshur,"803,523","858,946","861,887","869,180",148,6.9,0.3,0.8,140
Upton,"6,763,486","8,658,620","9,043,360","8,381,526",30,28.0,4.4,-7.3,213
Uvalde,"816,764","862,494","860,801","887,966",144,5.6,-0.2,3.2,92
Val Verde,"1,547,357","1,591,860","1,560,146","1,632,065",100,2.9,-2.0,4.6,66
Van Zandt,"1,131,945","1,121,655","1,110,729","1,149,868",125,-0.9,-1.0,3.5,83
Victoria,"4,144,955","4,095,735","3,888,047","3,955,443",55,-1.2,-5.1,1.7,125
Walker,"1,963,793","1,984,352","2,002,620","1,995,051",89,1.0,0.9,-0.4,156
Waller,"2,293,463","2,675,598","2,682,048","2,792,552",70,16.7,0.2,4.1,70
Ward,"4,396,090","5,999,315","5,108,935","4,761,159",49,36.5,-14.8,-6.8,209
Washington,"1,646,724","1,778,135","1,860,689","1,941,836",91,8.0,4.6,4.4,68
Webb,"12,067,102","12,691,606","12,828,793","12,832,935",21,5.2,1.1,0.0,149
Wharton,"1,728,380","1,926,509","1,863,552","1,922,003",92,11.5,-3.3,3.1,94
Wheeler,"1,003,618","916,225","895,124","769,506",157,-8.7,-2.3,-14.0,239
Wichita,"5,238,705","5,460,115","5,354,436","5,509,402",43,4.2,-1.9,2.9,99
Wilbarger,"760,637","795,871","723,353","663,611",167,4.6,-9.1,-8.3,218
Willacy,"534,303","513,744","517,871","606,156",171,-3.8,0.8,17.0,8
Williamson,"20,553,535","21,981,045","22,952,688","24,642,479",12,6.9,4.4,7.4,38
Wilson,"1,049,254","1,194,503","1,152,673","1,157,403",123,13.8,-3.5,0.4,143
Winkler,"1,862,119","2,471,171","2,484,774","2,175,872",82,32.7,0.6,-12.4,237
Wise,"3,326,407","3,452,576","3,341,670","3,409,709",62,3.8,-3.2,2.0,117
Wood,"1,732,447","1,751,366","1,731,831","1,739,620",97,1.1,-1.1,0.4,142
Yoakum,"3,219,193","3,514,423","3,154,261","2,612,559",73,9.2,-10.2,-17.2,245
Young,"879,636","870,798","880,442","922,003",143,-1.0,1.1,4.7,62
Zapata,"859,810","890,184","818,248","831,666",152,3.5,-8.1,1.6,127
Zavala,"899,507","1,056,527","988,037","953,007",141,17.5,-6.5,-3.5,185
,,,,,,,,,
Utah,"164,622,078","172,038,389","174,954,694","186,910,017",--,4.5,1.7,6.8,--
Beaver,"336,955","380,327","366,997","405,309",22,12.9,-3.5,10.4,6
Box Elder,"2,157,337","2,274,751","2,398,104","2,469,337",8,5.4,5.4,3.0,19
Cache,"5,042,621","5,285,659","5,319,836","5,775,817",6,4.8,0.6,8.6,9
Carbon,"1,036,702","1,123,455","1,078,258","1,088,977",14,8.4,-4.0,1.0,23
Daggett,"175,179","134,716","122,425","111,090",28,-23.1,-9.1,-9.3,28
Davis,"13,857,898","14,272,200","14,481,481","14,849,447",3,3.0,1.5,2.5,20
Duchesne,"1,122,853","1,167,091","1,146,875","1,146,902",12,3.9,-1.7,0.0,24
Emery,"856,148","918,142","919,600","1,028,528",16,7.2,0.2,11.8,4
Garfield,"238,767","251,358","248,506","284,801",25,5.3,-1.1,14.6,3
Grand,"574,876","608,056","559,584","606,293",19,5.8,-8.0,8.3,10
Iron,"1,579,873","1,705,267","1,756,657","1,880,877",10,7.9,3.0,7.1,14
Juab,"449,004","476,889","488,523","561,830",20,6.2,2.4,15.0,1
Kane,"318,169","318,849","338,739","388,997",23,0.2,6.2,14.8,2
Millard,"790,409","826,657","828,586","840,242",18,4.6,0.2,1.4,22
Morgan,"279,030","286,810","302,869","316,630",24,2.8,5.6,4.5,18
Piute,"84,787","75,669","69,923","58,547",29,-10.8,-7.6,-16.3,29
Rich,"151,778","151,471","149,153","144,645",26,-0.2,-1.5,-3.0,27
Salt Lake,"84,401,248","87,645,310","88,423,068","94,672,439",1,3.8,0.9,7.1,15
San Juan,"483,791","507,068","471,667","499,558",21,4.8,-7.0,5.9,16
Sanpete,"863,086","824,590","859,421","899,866",17,-4.5,4.2,4.7,17
Sevier,"1,164,266","1,180,918","1,158,432","1,134,973",13,1.4,-1.9,-2.0,25
Summit,"3,150,968","3,141,273","3,009,027","3,331,096",7,-0.3,-4.2,10.7,5
Tooele,"1,708,487","1,763,501","1,954,677","2,148,356",9,3.2,10.8,9.9,8
Uintah,"1,843,758","1,856,640","1,767,344","1,722,331",11,0.7,-4.8,-2.5,26
Utah,"24,855,247","27,035,655","28,258,958","30,573,196",2,8.8,4.5,8.2,11
Wasatch,"879,824","967,690","934,981","1,032,576",15,10.0,-3.4,10.4,7
Washington,"5,821,778","6,042,394","6,255,702","6,730,012",5,3.8,3.5,7.6,12
Wayne,"104,588","109,088","108,669","111,270",27,4.3,-0.4,2.4,21
Weber,"9,946,117","10,351,742","10,791,641","11,597,454",4,4.1,4.2,7.5,13
,,,,,,,,,
Vermont,"29,602,223","29,940,658","29,064,643","30,546,783",--,1.1,-2.9,5.1,--
Addison,"1,561,420","1,583,523","1,530,991","1,577,229",7,1.4,-3.3,3.0,12
Bennington,"1,527,784","1,543,366","1,465,893","1,557,956",8,1.0,-5.0,6.3,4
Caledonia,"1,002,387","1,009,063","1,010,069","1,035,021",10,0.7,0.1,2.5,13
Chittenden,"10,484,874","10,645,487","10,346,293","11,029,063",1,1.5,-2.8,6.6,3
Essex,"139,145","137,513","132,373","137,101",14,-1.2,-3.7,3.6,9
Franklin,"1,915,806","1,970,147","1,935,763","1,902,426",6,2.8,-1.7,-1.7,14
Grand Isle,"173,917","179,679","167,408","172,915",13,3.3,-6.8,3.3,11
Lamoille,"1,041,476","1,018,373","963,831","1,064,580",9,-2.2,-5.4,10.5,1
Orange,"753,609","746,323","724,220","757,604",12,-1.0,-3.0,4.6,7
Orleans,"953,565","981,257","964,174","1,014,308",11,2.9,-1.7,5.2,5
Rutland,"2,350,607","2,357,115","2,265,056","2,365,006",4,0.3,-3.9,4.4,8
Washington,"3,299,729","3,377,469","3,322,774","3,432,563",2,2.4,-1.6,3.3,10
Windham,"2,065,379","2,055,669","1,960,209","2,056,687",5,-0.5,-4.6,4.9,6
Windsor,"2,342,683","2,349,425","2,290,607","2,459,803",3,0.3,-2.5,7.4,2
,,,,,,,,,
Virginia,"477,915,167","489,199,063","478,909,346","505,350,968",--,2.4,-2.1,5.5,--
Accomack,"1,607,748","1,656,186","1,609,642","1,712,085",40,3.0,-2.8,6.4,19
Amelia,"260,675","269,148","251,339","287,277",91,3.3,-6.6,14.3,5
Amherst,"759,170","737,136","721,792","726,354",64,-2.9,-2.1,0.6,82
Appomattox,"268,744","264,080","267,075","269,747",93,-1.7,1.1,1.0,80
Arlington,"32,290,955","33,248,949","33,076,605","35,040,277",2,3.0,-0.5,5.9,28
Bath,"183,345","217,370","202,190","221,402",97,18.6,-7.0,9.5,11
Bedford,"1,849,183","1,825,129","1,775,752","1,811,429",38,-1.3,-2.7,2.0,73
Bland,"209,313","201,421","189,165","190,943",101,-3.8,-6.1,0.9,81
Botetourt,"1,137,442","1,163,104","1,132,616","1,194,173",49,2.3,-2.6,5.4,35
Brunswick,"715,808","739,509","774,228","748,530",63,3.3,4.7,-3.3,96
Buchanan,"1,102,614","1,116,411","989,156","914,957",57,1.3,-11.4,-7.5,102
Buckingham,"502,777","495,599","493,103","446,284",75,-1.4,-0.5,-9.5,103
Caroline,"690,554","678,469","712,585","692,980",66,-1.8,5.0,-2.8,95
Charles City,"194,287","200,402","202,922","194,707",100,3.1,1.3,-4.0,98
Charlotte,"235,295","228,771","223,814","233,665",96,-2.8,-2.2,4.4,50
Chesterfield,"14,233,196","14,379,143","14,225,201","14,924,171",9,1.0,-1.1,4.9,43
Clarke,"451,124","443,617","420,252","433,893",77,-1.7,-5.3,3.2,64
Craig,"93,155","91,545","90,164","89,750",104,-1.7,-1.5,-0.5,89
Culpeper,"1,670,888","1,682,016","1,651,688","1,753,849",39,0.7,-1.8,6.2,23
Cumberland,"142,518","138,886","123,068","145,400",102,-2.5,-11.4,18.1,2
Dickenson,"506,086","525,587","550,991","439,299",76,3.9,4.8,-20.3,105
Essex,"347,752","356,566","317,368","339,670",89,2.5,-11.0,7.0,17
Fauquier,"2,597,996","2,529,137","2,522,050","2,659,872",31,-2.7,-0.3,5.5,34
Floyd,"354,690","338,722","340,428","338,902",90,-4.5,0.5,-0.4,88
Fluvanna,"812,833","832,235","769,889","750,430",62,2.4,-7.5,-2.5,94
Franklin,"1,410,861","1,393,126","1,381,087","1,402,034",43,-1.3,-0.9,1.5,77
Giles,"464,196","445,701","451,310","535,370",71,-4.0,1.3,18.6,1
Gloucester,"802,704","815,998","805,687","841,986",58,1.7,-1.3,4.5,49
Goochland,"2,042,176","2,293,993","2,365,776","2,634,203",32,12.3,3.1,11.3,8
Grayson,"271,894","263,146","267,174","253,027",95,-3.2,1.5,-5.3,99
Greene,"421,782","422,767","403,552","428,240",78,0.2,-4.5,6.1,24
Halifax,"1,166,449","1,091,006","1,057,946","1,049,959",52,-6.5,-3.0,-0.8,90
Hanover,"5,257,854","5,389,996","5,286,114","5,567,064",23,2.5,-1.9,5.3,37
Henrico,"26,383,775","27,115,952","25,568,590","27,100,902",4,2.8,-5.7,6.0,27
Highland,"68,234","69,779","63,637","70,287",105,2.3,-8.8,10.4,10
Isle of Wight,"1,364,523","1,268,590","1,208,248","1,207,321",48,-7.0,-4.8,-0.1,87
King and Queen,"127,002","127,104","129,989","132,751",103,0.1,2.3,2.1,72
King George,"1,769,817","1,833,745","1,893,359","1,978,845",37,3.6,3.3,4.5,48
King William,"458,926","472,475","479,595","494,102",73,3.0,1.5,3.0,65
Lancaster,"410,086","412,687","402,589","422,140",79,0.6,-2.4,4.9,45
Lee,"376,220","369,500","376,810","373,235",84,-1.8,2.0,-0.9,91
Loudoun,"26,603,263","27,329,457","25,744,842","27,825,859",3,2.7,-5.8,8.1,12
Louisa,"2,050,430","2,031,097","1,993,339","2,053,447",36,-0.9,-1.9,3.0,66
Lunenburg,"211,003","211,899","212,351","207,974",98,0.4,0.2,-2.1,93
Madison,"338,268","332,436","333,646","340,315",88,-1.7,0.4,2.0,74
Mathews,"193,958","200,624","196,420","199,848",99,3.4,-2.1,1.7,75
Mecklenburg,"896,533","906,019","974,320","989,016",55,1.1,7.5,1.5,78
Middlesex,"349,547","346,392","327,903","344,170",87,-0.9,-5.3,5.0,42
Nelson,"486,735","483,050","491,762","519,375",72,-0.8,1.8,5.6,33
New Kent,"458,235","498,639","560,247","585,771",69,8.8,12.4,4.6,47
Northampton,"456,227","454,955","486,844","406,561",81,-0.3,7.0,-16.5,104
Northumberland,"378,697","414,690","386,771","382,168",83,9.5,-6.7,-1.2,92
Nottoway,"464,285","473,243","437,740","470,167",74,1.9,-7.5,7.4,15
Orange,"1,045,103","1,053,321","1,025,792","1,031,071",53,0.8,-2.6,0.5,83
Page,"576,339","597,418","549,258","642,297",68,3.7,-8.1,16.9,3
Patrick,"383,503","384,818","371,413","388,677",82,0.3,-3.5,4.6,46
Powhatan,"712,994","740,715","739,105","766,932",60,3.9,-0.2,3.8,58
Prince Edward,"639,899","651,333","620,041","642,684",67,1.8,-4.8,3.7,61
Pulaski,"1,213,725","1,263,215","1,153,141","1,335,567",47,4.1,-8.7,15.8,4
Rappahannock,"296,915","299,165","271,712","285,582",92,0.8,-9.2,5.1,39
Richmond,"270,102","266,320","274,753","257,731",94,-1.4,3.2,-6.2,100
Russell,"636,897","621,020","599,720","576,224",70,-2.5,-3.4,-3.9,97
Scott,"379,893","379,379","361,680","370,381",85,-0.1,-4.7,2.4,71
Shenandoah,"1,557,122","1,649,314","1,608,816","1,705,365",41,5.9,-2.5,6.0,26
Smyth,"954,810","953,644","901,059","972,138",56,-0.1,-5.5,7.9,14
Stafford,"5,118,830","5,183,998","5,333,317","5,622,629",20,1.3,2.9,5.4,36
Surry,"990,917","1,045,632","1,006,729","1,018,341",54,5.5,-3.7,1.2,79
Sussex,"319,644","339,874","340,546","354,287",86,6.3,0.2,4.0,54
Tazewell,"1,179,902","1,138,864","1,080,623","1,082,757",51,-3.5,-5.1,0.2,85
Warren,"1,565,331","1,645,858","1,618,859","1,646,669",42,5.1,-1.6,1.7,76
Westmoreland,"429,685","438,292","455,665","422,129",80,2.0,4.0,-7.4,101
Wythe,"1,443,488","1,323,958","1,305,615","1,384,614",44,-8.3,-1.4,6.1,25
Independent cities,,,,,,,,,
Alexandria,"13,656,411","13,371,830","12,822,792","13,138,801",10,-2.1,-4.1,2.5,70
Chesapeake,"9,211,998","9,363,568","9,313,503","9,696,743",13,1.6,-0.5,4.1,53
Hampton,"5,986,409","6,063,411","5,944,728","6,112,481",18,1.3,-2.0,2.8,69
Newport News,"11,777,992","12,368,641","11,562,293","12,906,068",11,5.0,-6.5,11.6,7
Norfolk,"17,708,474","17,056,634","16,596,226","17,544,590",8,-3.7,-2.7,5.7,32
Portsmouth,"5,179,502","5,476,793","5,405,086","5,616,034",21,5.7,-1.3,3.9,56
Richmond,"20,309,537","20,860,109","20,698,848","21,556,561",5,2.7,-0.8,4.1,52
Roanoke,"6,435,488","6,382,646","6,339,701","6,712,970",15,-0.8,-0.7,5.9,30
Suffolk,"3,348,237","3,516,909","3,633,851","3,859,749",27,5.0,3.3,6.2,21
Virginia Beach,"19,477,842","19,849,780","19,397,944","20,599,268",6,1.9,-2.3,6.2,22
Combination areas2,,,,,,,,,
Albemarle + Charlottesville,"10,705,268","10,789,403","10,372,263","11,122,188",12,0.8,-3.9,7.2,16
Alleghany + Covington,"789,647","816,458","753,084","754,235",61,3.4,-7.8,0.2,86
"Augusta, Staunton + Waynesboro","4,655,930","4,712,890","4,554,027","4,784,006",26,1.2,-3.4,5.1,41
Campbell + Lynchburg,"6,703,608","6,738,640","6,305,277","6,545,822",16,0.5,-6.4,3.8,57
Carroll + Galax,"878,531","852,805","810,371","834,734",59,-2.9,-5.0,3.0,67
"Dinwiddie, Colonial Heights + Petersburg","2,576,033","2,569,076","2,530,155","2,623,981",33,-0.3,-1.5,3.7,60
"Fairfax, Fairfax City + Falls Church","108,821,125","114,021,537","112,503,053","119,541,723",1,4.8,-1.3,6.3,20
Frederick + Winchester,"5,909,155","6,064,692","6,161,832","6,461,969",17,2.6,1.6,4.9,44
Greensville + Emporia,"752,307","1,234,973","1,224,401","1,374,131",45,64.2,-0.9,12.2,6
Henry + Martinsville,"1,943,227","2,014,272","2,014,453","2,145,133",35,3.7,0.0,6.5,18
James City + Williamsburg,"4,671,505","4,781,379","4,784,158","5,305,687",24,2.4,0.1,10.9,9
Montgomery + Radford,"4,907,428","4,781,571","4,648,988","4,915,866",25,-2.6,-2.8,5.7,31
Pittsylvania + Danville,"3,154,781","3,169,019","3,091,797","3,201,771",30,0.5,-2.4,3.6,63
Prince George + Hopewell,"3,532,166","3,593,669","3,589,304","3,607,669",28,1.7,-0.1,0.5,84
"Prince William, Manassas + Manassas Park","18,885,461","19,493,310","19,384,967","20,156,123",7,3.2,-0.6,4.0,55
Roanoke + Salem,"5,659,240","5,538,960","5,382,102","5,615,519",22,-2.1,-2.8,4.3,51
"Rockbridge, Buena Vista + Lexington","1,123,652","1,172,586","1,126,326","1,168,535",50,4.4,-3.9,3.7,59
Rockingham + Harrisonburg,"7,154,226","7,389,201","7,387,190","7,972,516",14,3.3,0.0,7.9,13
Southampton + Franklin,"659,074","722,831","683,563","708,323",65,9.7,-5.4,3.6,62
Spotsylvania + Fredericksburg,"5,651,121","5,714,690","5,655,408","5,943,497",19,1.1,-1.0,5.1,40
Washington + Bristol,"3,295,440","3,212,025","3,126,609","3,288,442",29,-2.5,-2.7,5.2,38
Wise + Norton,"1,450,704","1,357,272","1,325,955","1,363,863",46,-6.4,-2.3,2.9,68
York + Poquoson,"2,432,401","2,499,269","2,358,919","2,497,814",34,2.7,-5.6,5.9,29
,,,,,,,,,
Washington,"515,029,051","533,150,415","538,856,056","575,128,993",--,3.5,1.1,6.7,--
Adams,"879,185","931,943","948,088","895,106",29,6.0,1.7,-5.6,39
Asotin,"603,442","609,263","608,870","635,697",32,1.0,-0.1,4.4,14
Benton,"10,577,904","10,967,373","10,611,095","10,947,357",9,3.7,-3.2,3.2,17
Chelan,"4,138,555","4,160,985","4,058,918","4,289,526",14,0.5,-2.5,5.7,10
Clallam,"2,261,630","2,272,786","2,251,827","2,348,495",20,0.5,-0.9,4.3,15
Clark,"19,230,585","19,827,175","19,757,745","21,447,374",5,3.1,-0.4,8.6,3
Columbia,"344,182","366,195","351,915","372,009",35,6.4,-3.9,5.7,9
Cowlitz,"4,369,510","4,643,140","4,679,423","4,822,730",13,6.3,0.8,3.1,18
Douglas,"1,746,147","1,675,869","1,668,605","1,680,339",23,-4.0,-0.4,0.7,29
Ferry,"180,761","179,053","196,296","189,950",37,-0.9,9.6,-3.2,35
Franklin,"3,537,283","3,707,123","3,696,248","3,776,640",15,4.8,-0.3,2.2,23
Garfield,"140,370","147,328","157,151","148,828",38,5.0,6.7,-5.3,38
Grant,"5,543,956","5,465,952","5,530,238","5,342,288",12,-1.4,1.2,-3.4,36
Grays Harbor,"2,211,005","2,275,379","2,146,628","2,284,427",21,2.9,-5.7,6.4,7
Island,"2,906,065","2,957,620","2,955,893","3,165,730",16,1.8,-0.1,7.1,5
Jefferson,"947,521","986,130","970,156","995,998",28,4.1,-1.6,2.7,20
King,"277,606,590","291,221,132","301,998,838","328,802,895",1,4.9,3.7,8.9,2
Kitsap,"11,015,278","11,142,456","11,408,216","11,741,512",8,1.2,2.4,2.9,19
Kittitas,"1,575,741","1,599,559","1,611,209","1,695,162",22,1.5,0.7,5.2,13
Klickitat,"1,320,898","1,478,617","1,560,852","1,516,441",24,11.9,5.6,-2.8,34
Lewis,"2,969,941","3,169,854","3,015,881","3,037,819",17,6.7,-4.9,0.7,28
Lincoln,"423,260","438,079","478,371","474,027",33,3.5,9.2,-0.9,33
Mason,"1,497,232","1,481,859","1,432,558","1,463,740",25,-1.0,-3.3,2.2,22
Okanogan,"1,343,826","1,296,085","1,358,851","1,293,086",26,-3.6,4.8,-4.8,37
Pacific,"647,548","664,908","640,422","675,626",31,2.7,-3.7,5.5,11
Pend Oreille,"548,258","537,344","457,234","458,046",34,-2.0,-14.9,0.2,30
Pierce,"38,832,958","39,884,548","39,425,185","41,534,870",3,2.7,-1.2,5.4,12
San Juan,"726,980","714,295","686,592","754,369",30,-1.7,-3.9,9.9,1
Skagit,"7,075,383","7,036,152","6,513,603","6,766,106",11,-0.6,-7.4,3.9,16
Skamania,"269,497","241,825","252,544","254,399",36,-10.3,4.4,0.7,27
Snohomish,"45,228,947","45,119,084","43,235,869","44,036,018",2,-0.2,-4.2,1.9,24
Spokane,"23,127,284","23,698,148","23,597,673","25,227,067",4,2.5,-0.4,6.9,6
Stevens,"989,128","990,518","996,660","1,012,021",27,0.1,0.6,1.5,25
Thurston,"12,279,739","12,478,593","12,335,794","13,055,380",7,1.6,-1.1,5.8,8
Wahkiakum,"78,622","82,914","87,060","86,563",39,5.5,5.0,-0.6,32
Walla Walla,"3,276,945","3,255,430","2,974,295","2,997,301",18,-0.7,-8.6,0.8,26
Whatcom,"12,428,854","13,229,471","12,222,012","13,143,464",6,6.4,-7.6,7.5,4
Whitman,"2,372,262","2,395,476","2,386,564","2,445,619",19,1.0,-0.4,2.5,21
Yakima,"9,945,027","10,091,930","9,996,917","9,978,061",10,1.5,-0.9,-0.2,31
,,,,,,,,,
West Virginia,"73,170,430","72,633,397","70,444,226","71,343,226",--,-0.7,-3.0,1.3,--
Barbour,"394,352","409,224","409,374","404,451",39,3.8,0.0,-1.2,40
Berkeley,"3,568,044","3,579,776","3,528,720","3,679,915",5,0.3,-1.4,4.3,15
Boone,"708,217","662,356","624,746","627,913",30,-6.5,-5.7,0.5,36
Braxton,"281,870","287,339","280,471","277,895",44,1.9,-2.4,-0.9,39
Brooke,"981,373","1,029,283","1,043,110","1,137,528",16,4.9,1.3,9.1,3
Cabell,"4,474,811","4,526,294","4,343,452","4,452,842",3,1.2,-4.0,2.5,24
Calhoun,"109,178","109,031","100,188","105,045",54,-0.1,-8.1,4.8,13
Clay,"115,680","118,548","114,824","119,183",53,2.5,-3.1,3.8,18
Doddridge,"1,138,565","1,214,127","1,456,779","968,864",20,6.6,20.0,-33.5,55
Fayette,"1,024,868","1,023,115","936,771","959,756",21,-0.2,-8.4,2.5,25
Gilmer,"178,591","180,604","179,665","176,978",50,1.1,-0.5,-1.5,41
Grant,"415,754","393,409","414,340","400,347",40,-5.4,5.3,-3.4,45
Greenbrier,"1,099,643","1,070,721","1,009,770","1,048,034",19,-2.6,-5.7,3.8,19
Hampshire,"380,095","383,365","373,519","379,296",41,0.9,-2.6,1.5,30
Hancock,"1,092,515","1,073,347","1,051,403","1,100,385",17,-1.8,-2.0,4.7,14
Hardy,"476,994","520,540","526,618","534,905",34,9.1,1.2,1.6,29
Harrison,"4,350,611","4,318,521","4,093,703","4,128,974",4,-0.7,-5.2,0.9,33
Jackson,"1,430,929","938,397","844,460","803,201",23,-34.4,-10.0,-4.9,48
Jefferson,"1,570,737","1,608,767","1,514,808","1,638,468",12,2.4,-5.8,8.2,4
Kanawha,"9,879,945","9,758,080","9,185,685","9,517,974",1,-1.2,-5.9,3.6,20
Lewis,"669,305","656,137","542,811","529,168",36,-2.0,-17.3,-2.5,44
Lincoln,"238,982","244,153","229,640","232,794",47,2.2,-5.9,1.4,31
Logan,"1,307,328","1,279,831","1,145,719","1,229,769",15,-2.1,-10.5,7.3,5
McDowell,"568,457","575,223","554,256","530,028",35,1.2,-3.6,-4.4,47
Marion,"2,226,284","2,232,438","1,870,439","1,967,459",11,0.3,-16.2,5.2,10
Marshall,"3,011,640","2,954,471","3,052,322","2,836,266",9,-1.9,3.3,-7.1,51
Mason,"643,412","716,681","678,263","673,186",29,11.4,-5.4,-0.7,38
Mercer,"1,536,287","1,556,791","1,490,862","1,522,563",13,1.3,-4.2,2.1,27
Mineral,"702,224","725,429","711,809","754,232",25,3.3,-1.9,6.0,7
Mingo,"720,310","649,185","499,963","452,236",37,-9.9,-23.0,-9.5,52
Monongalia,"6,266,356","6,190,021","6,095,833","6,196,978",2,-1.2,-1.5,1.7,28
Monroe,"164,896","169,916","168,201","177,980",49,3.0,-1.0,5.8,9
Morgan,"296,672","303,154","280,340","288,688",42,2.2,-7.5,3.0,21
Nicholas,"593,051","583,078","574,087","578,676",33,-1.7,-1.5,0.8,34
Ohio,"3,619,793","3,489,035","3,343,928","3,438,400",6,-3.6,-4.2,2.8,23
Pendleton,"133,834","139,571","138,103","137,151",52,4.3,-1.1,-0.7,37
Pleasants,"476,795","429,801","405,814","444,275",38,-9.9,-5.6,9.5,2
Pocahontas,"237,031","242,345","233,644","245,281",46,2.2,-3.6,5.0,11
Preston,"708,329","681,159","658,451","677,512",28,-3.8,-3.3,2.9,22
Putnam,"2,715,078","2,620,719","2,507,400","2,629,454",10,-3.5,-4.3,4.9,12
Raleigh,"2,790,912","2,884,058","2,773,323","2,878,744",8,3.3,-3.8,3.8,17
Randolph,"804,212","817,595","801,645","788,916",24,1.7,-2.0,-1.6,42
Ritchie,"659,169","758,085","858,033","679,509",27,15.0,13.2,-20.8,53
Roane,"274,963","280,527","271,530","273,489",45,2.0,-3.2,0.7,35
Summers,"187,282","191,823","182,759","194,697",48,2.4,-4.7,6.5,6
Taylor,"516,170","549,318","614,403","591,624",31,6.4,11.8,-3.7,46
Tucker,"306,013","289,321","301,321","281,225",43,-5.5,4.1,-6.7,50
Tyler,"704,988","952,411","1,406,592","1,099,238",18,35.1,47.7,-21.9,54
Upshur,"670,968","693,570","678,882","684,942",26,3.4,-2.1,0.9,32
Wayne,"961,644","961,616","900,224","952,664",22,0.0,-6.4,5.8,8
Webster,"153,369","154,686","143,873","141,270",51,0.9,-7.0,-1.8,43
Wetzel,"794,691","862,501","1,332,057","1,260,848",14,8.5,54.4,-5.3,49
Wirt,"66,447","60,770","56,621","77,597",55,-8.5,-6.8,37.0,1
Wood,"3,199,025","3,127,153","3,045,016","3,163,324",7,-2.2,-2.6,3.9,16
Wyoming,"607,152","539,939","578,228","591,307",32,-11.1,7.1,2.3,26
,,,,,,,,,
Wisconsin,"299,062,615","303,669,022","293,104,851","306,467,421",--,1.5,-3.5,4.6,--
Adams,"514,481","536,208","537,699","528,843",62,4.2,0.3,-1.6,66
Ashland,"658,404","672,653","642,626","644,987",54,2.2,-4.5,0.4,58
Barron,"2,078,962","1,985,260","1,924,512","2,030,539",29,-4.5,-3.1,5.5,18
Bayfield,"417,501","419,743","379,256","403,195",66,0.5,-9.6,6.3,10
Brown,"16,902,904","16,963,612","16,275,071","16,798,874",4,0.4,-4.1,3.2,41
Buffalo,"504,411","447,989","460,612","472,566",65,-11.2,2.8,2.6,47
Burnett,"476,295","485,239","471,896","511,143",64,1.9,-2.7,8.3,1
Calumet,"1,508,225","1,541,632","1,516,536","1,599,249",35,2.2,-1.6,5.5,19
Chippewa,"2,591,014","2,703,692","2,624,968","2,710,774",25,4.3,-2.9,3.3,40
Clark,"1,392,787","1,414,116","1,314,912","1,307,470",38,1.5,-7.0,-0.6,65
Columbia,"2,641,454","2,584,352","2,521,436","2,598,057",26,-2.2,-2.4,3.0,43
Crawford,"692,151","673,649","642,555","642,528",55,-2.7,-4.6,0.0,61
